nombre,poblacion,superficie,continente
Argentina,45696159,2780400,América
Brasil,211998573,8510420,América
México,130861007,1957194,América
Colombia,52886363,1140619,América
Perú,34217848,1285215,América
Alemania,83516593,357680,Europa
Francia,68551653,606410,Europa
Reino Unido,69226000,243610,Europa
Italia,58952704,302070,Europa
España,48848840,505976,Europa
China,1408975000,9562910,Asia
India,1450935791,3287260,Asia
Japón,123975371,377969,Asia
Indonesia,283487931,1916907,Asia
Arabia Saudita,35300280,2149690,Asia
Nigeria,232679478,923770,África
Egipto,116538258,1001450,África
Sudáfrica,640071870,1219090,África
Etiopía,132059767,1136240,África
Tanzania,68560157,947300,África
Australia,27196812,7741220,Oceanía
Nueva Zelanda,5287500,267710,Oceanía
Papúa Nueva Guinea,10576502,462840,Oceanía
Fiyi,928784,18270,Oceanía
Islas Salomón,819198,28900,Oceanía
